"lag","cost","nu","gamma","corr_pred"
5,4096,0.3,512,0.124086544757611
1,4096,0.1,512,0.124111162084023
2,4096,0.1,512,0.124111162084023
3,4096,0.1,512,0.124111162084023
4,4096,0.1,512,0.124111162084023
5,4096,0.1,512,0.124111162084023
1,4096,0.2,512,0.12411959087535
2,4096,0.2,512,0.12411959087535
3,4096,0.2,512,0.12411959087535
4,4096,0.2,512,0.12411959087535
5,4096,0.2,512,0.12411959087535
1,2048,0.8,256,0.138740732378731
2,2048,0.8,256,0.138740732378731
3,2048,0.8,256,0.138740732378731
4,2048,0.8,256,0.138740732378731
5,2048,0.8,256,0.138740732378731
1,2048,0.9,256,0.13875893688573
2,2048,0.9,256,0.13875893688573
3,2048,0.9,256,0.13875893688573
4,2048,0.9,256,0.13875893688573
5,2048,0.9,256,0.13875893688573
1,2048,0.7,256,0.138760255936736
2,2048,0.7,256,0.138760255936736
3,2048,0.7,256,0.138760255936736
4,2048,0.7,256,0.138760255936736
5,2048,0.7,256,0.138760255936736
1,2048,0.5,256,0.138765411458151
2,2048,0.5,256,0.138765411458151
3,2048,0.5,256,0.138765411458151
4,2048,0.5,256,0.138765411458151
5,2048,0.5,256,0.138765411458151
1,2048,0.4,256,0.138767954892832
2,2048,0.4,256,0.138767954892832
3,2048,0.4,256,0.138767954892832
4,2048,0.4,256,0.138767954892832
5,2048,0.4,256,0.138767954892832
1,2048,0.6,256,0.138780905491023
2,2048,0.6,256,0.138780905491023
3,2048,0.6,256,0.138780905491023
4,2048,0.6,256,0.138780905491023
5,2048,0.6,256,0.138780905491023
1,2048,0.3,256,0.138837690424854
2,2048,0.3,256,0.138837690424854
3,2048,0.3,256,0.138837690424854
4,2048,0.3,256,0.138837690424854
5,2048,0.3,256,0.138837690424854
1,2048,0.2,256,0.138848321914181
2,2048,0.2,256,0.138848321914181
3,2048,0.2,256,0.138848321914181
4,2048,0.2,256,0.138848321914181
5,2048,0.2,256,0.138848321914181
1,2048,0.9,512,0.143935768958338
2,2048,0.9,512,0.143935768958338
3,2048,0.9,512,0.143935768958338
4,2048,0.9,512,0.143935768958338
5,2048,0.9,512,0.143935768958338
1,2048,0.8,512,0.143942507999022
2,2048,0.8,512,0.143942507999022
3,2048,0.8,512,0.143942507999022
4,2048,0.8,512,0.143942507999022
5,2048,0.8,512,0.143942507999022
1,2048,0.6,512,0.143951589471719
2,2048,0.6,512,0.143951589471719
3,2048,0.6,512,0.143951589471719
4,2048,0.6,512,0.143951589471719
5,2048,0.6,512,0.143951589471719
1,2048,0.5,512,0.143958349195635
2,2048,0.5,512,0.143958349195635
3,2048,0.5,512,0.143958349195635
4,2048,0.5,512,0.143958349195635
5,2048,0.5,512,0.143958349195635
1,2048,0.7,512,0.14395991285265
2,2048,0.7,512,0.14395991285265
3,2048,0.7,512,0.14395991285265
4,2048,0.7,512,0.14395991285265
5,2048,0.7,512,0.14395991285265
1,2048,0.4,512,0.143971736855385
2,2048,0.4,512,0.143971736855385
3,2048,0.4,512,0.143971736855385
4,2048,0.4,512,0.143971736855385
5,2048,0.4,512,0.143971736855385
1,2048,0.3,512,0.143976038019569
2,2048,0.3,512,0.143976038019569
3,2048,0.3,512,0.143976038019569
4,2048,0.3,512,0.143976038019569
5,2048,0.3,512,0.143976038019569
1,2048,0.1,512,0.143992707573923
2,2048,0.1,512,0.143992707573923
3,2048,0.1,512,0.143992707573923
