"lag","cost","nu","gamma","corr_pred"
4,1024,0.4,512,0.100862026642708
5,1024,0.4,512,0.100862026642708
1,1024,0.2,512,0.100867608415482
2,1024,0.2,512,0.100867608415482
3,1024,0.2,512,0.100867608415482
4,1024,0.2,512,0.100867608415482
5,1024,0.2,512,0.100867608415482
1,1024,0.3,512,0.100871923614656
2,1024,0.3,512,0.100871923614656
3,1024,0.3,512,0.100871923614656
4,1024,0.3,512,0.100871923614656
5,1024,0.3,512,0.100871923614656
1,2048,0.9,64,0.100897004307804
2,2048,0.9,64,0.100897004307804
3,2048,0.9,64,0.100897004307804
4,2048,0.9,64,0.100897004307804
5,2048,0.9,64,0.100897004307804
1,2048,0.6,64,0.100921387896337
2,2048,0.6,64,0.100921387896337
3,2048,0.6,64,0.100921387896337
4,2048,0.6,64,0.100921387896337
5,2048,0.6,64,0.100921387896337
1,1024,0.1,512,0.102802449671429
2,1024,0.1,512,0.102802449671429
3,1024,0.1,512,0.102802449671429
4,1024,0.1,512,0.102802449671429
5,1024,0.1,512,0.102802449671429
1,4096,0.7,32,0.103535246113774
2,4096,0.7,32,0.103535246113774
3,4096,0.7,32,0.103535246113774
4,4096,0.7,32,0.103535246113774
5,4096,0.7,32,0.103535246113774
1,2048,0.3,64,0.10415946491816
2,2048,0.3,64,0.10415946491816
3,2048,0.3,64,0.10415946491816
4,2048,0.3,64,0.10415946491816
5,2048,0.3,64,0.10415946491816
1,4096,0.9,32,0.108720936257462
2,4096,0.9,32,0.108720936257462
3,4096,0.9,32,0.108720936257462
4,4096,0.9,32,0.108720936257462
5,4096,0.9,32,0.108720936257462
1,4096,0.8,32,0.109141505987963
2,4096,0.8,32,0.109141505987963
3,4096,0.8,32,0.109141505987963
4,4096,0.8,32,0.109141505987963
5,4096,0.8,32,0.109141505987963
1,2048,0.8,1024,0.111663271592894
2,2048,0.8,1024,0.111663271592894
3,2048,0.8,1024,0.111663271592894
4,2048,0.8,1024,0.111663271592894
5,2048,0.8,1024,0.111663271592894
1,4096,0.8,1024,0.111666716266131
2,4096,0.8,1024,0.111666716266131
3,4096,0.8,1024,0.111666716266131
4,4096,0.8,1024,0.111666716266131
5,4096,0.8,1024,0.111666716266131
1,2048,0.9,1024,0.111669261889747
2,2048,0.9,1024,0.111669261889747
3,2048,0.9,1024,0.111669261889747
4,2048,0.9,1024,0.111669261889747
5,2048,0.9,1024,0.111669261889747
1,4096,0.9,1024,0.111670520471987
2,4096,0.9,1024,0.111670520471987
3,4096,0.9,1024,0.111670520471987
4,4096,0.9,1024,0.111670520471987
5,4096,0.9,1024,0.111670520471987
1,4096,0.7,1024,0.111674239593352
2,4096,0.7,1024,0.111674239593352
3,4096,0.7,1024,0.111674239593352
4,4096,0.7,1024,0.111674239593352
5,4096,0.7,1024,0.111674239593352
1,2048,0.4,1024,0.111674848601156
2,2048,0.4,1024,0.111674848601156
3,2048,0.4,1024,0.111674848601156
4,2048,0.4,1024,0.111674848601156
5,2048,0.4,1024,0.111674848601156
1,2048,0.7,1024,0.111675533760098
2,2048,0.7,1024,0.111675533760098
3,2048,0.7,1024,0.111675533760098
4,2048,0.7,1024,0.111675533760098
5,2048,0.7,1024,0.111675533760098
1,2048,0.6,1024,0.111676479252988
2,2048,0.6,1024,0.111676479252988
3,2048,0.6,1024,0.111676479252988
4,2048,0.6,1024,0.111676479252988
5,2048,0.6,1024,0.111676479252988
1,4096,0.6,1024,0.111679234486293
2,4096,0.6,1024,0.111679234486293
3,4096,0.6,1024,0.111679234486293
4,4096,0.6,1024,0.111679234486293
5,4096,0.6,1024,0.111679234486293
1,2048,0.5,1024,0.111681123985316
2,2048,0.5,1024,0.111681123985316
3,2048,0.5,1024,0.111681123985316
4,2048,0.5,1024,0.111681123985316
5,2048,0.5,1024,0.111681123985316
1,4096,0.4,1024,0.11168190075517
2,4096,0.4,1024,0.11168190075517
3,4096,0.4,1024,0.11168190075517
4,4096,0.4,1024,0.11168190075517
5,4096,0.4,1024,0.11168190075517
1,4096,0.3,1024,0.111686454296092
2,4096,0.3,1024,0.111686454296092
3,4096,0.3,1024,0.111686454296092
4,4096,0.3,1024,0.111686454296092
5,4096,0.3,1024,0.111686454296092
1,4096,0.5,1024,0.111691189398483
2,4096,0.5,1024,0.111691189398483
3,4096,0.5,1024,0.111691189398483
4,4096,0.5,1024,0.111691189398483
5,4096,0.5,1024,0.111691189398483
1,2048,0.3,1024,0.111699831800102
2,2048,0.3,1024,0.111699831800102
3,2048,0.3,1024,0.111699831800102
4,2048,0.3,1024,0.111699831800102
5,2048,0.3,1024,0.111699831800102
1,4096,0.2,1024,0.111709632969755
2,4096,0.2,1024,0.111709632969755
3,4096,0.2,1024,0.111709632969755
4,4096,0.2,1024,0.111709632969755
5,4096,0.2,1024,0.111709632969755
1,2048,0.2,1024,0.11171081192511
2,2048,0.2,1024,0.11171081192511
3,2048,0.2,1024,0.11171081192511
4,2048,0.2,1024,0.11171081192511
5,2048,0.2,1024,0.11171081192511
1,2048,0.1,1024,0.111718046371422
2,2048,0.1,1024,0.111718046371422
3,2048,0.1,1024,0.111718046371422
4,2048,0.1,1024,0.111718046371422
5,2048,0.1,1024,0.111718046371422
1,4096,0.1,1024,0.111720338588635
2,4096,0.1,1024,0.111720338588635
3,4096,0.1,1024,0.111720338588635
4,4096,0.1,1024,0.111720338588635
5,4096,0.1,1024,0.111720338588635
1,512,0.6,128,0.113076028339109
2,512,0.6,128,0.113076028339109
3,512,0.6,128,0.113076028339109
4,512,0.6,128,0.113076028339109
5,512,0.6,128,0.113076028339109
1,512,0.5,128,0.113096448810383
2,512,0.5,128,0.113096448810383
3,512,0.5,128,0.113096448810383
4,512,0.5,128,0.113096448810383
5,512,0.5,128,0.113096448810383
1,512,0.7,128,0.113116262678369
2,512,0.7,128,0.113116262678369
3,512,0.7,128,0.113116262678369
4,512,0.7,128,0.113116262678369
5,512,0.7,128,0.113116262678369
1,512,0.8,128,0.113140279383792
2,512,0.8,128,0.113140279383792
3,512,0.8,128,0.113140279383792
4,512,0.8,128,0.113140279383792
5,512,0.8,128,0.113140279383792
1,512,0.9,128,0.113145107953566
2,512,0.9,128,0.113145107953566
3,512,0.9,128,0.113145107953566
4,512,0.9,128,0.113145107953566
5,512,0.9,128,0.113145107953566
1,1024,0.2,256,0.113233814125281
2,1024,0.2,256,0.113233814125281
3,1024,0.2,256,0.113233814125281
4,1024,0.2,256,0.113233814125281
5,1024,0.2,256,0.113233814125281
1,4096,0.1,256,0.113477910914179
2,4096,0.1,256,0.113477910914179
3,4096,0.1,256,0.113477910914179
4,4096,0.1,256,0.113477910914179
5,4096,0.1,256,0.113477910914179
1,256,0.9,256,0.113931805748754
2,256,0.9,256,0.113931805748754
3,256,0.9,256,0.113931805748754
4,256,0.9,256,0.113931805748754
5,256,0.9,256,0.113931805748754
1,256,0.8,256,0.113948636859198
2,256,0.8,256,0.113948636859198
3,256,0.8,256,0.113948636859198
4,256,0.8,256,0.113948636859198
5,256,0.8,256,0.113948636859198
1,256,0.7,256,0.113954919258444
2,256,0.7,256,0.113954919258444
3,256,0.7,256,0.113954919258444
4,256,0.7,256,0.113954919258444
5,256,0.7,256,0.113954919258444
1,256,0.6,256,0.113973897690565
2,256,0.6,256,0.113973897690565
3,256,0.6,256,0.113973897690565
4,256,0.6,256,0.113973897690565
5,256,0.6,256,0.113973897690565
1,256,0.5,256,0.113996090195882
2,256,0.5,256,0.113996090195882
3,256,0.5,256,0.113996090195882
4,256,0.5,256,0.113996090195882
5,256,0.5,256,0.113996090195882
1,256,0.4,256,0.1140087633637
2,256,0.4,256,0.1140087633637
3,256,0.4,256,0.1140087633637
4,256,0.4,256,0.1140087633637
5,256,0.4,256,0.1140087633637
1,512,0.7,512,0.115497035100853
2,512,0.7,512,0.115497035100853
3,512,0.7,512,0.115497035100853
4,512,0.7,512,0.115497035100853
5,512,0.7,512,0.115497035100853
1,512,0.9,512,0.115501571876122
2,512,0.9,512,0.115501571876122
3,512,0.9,512,0.115501571876122
4,512,0.9,512,0.115501571876122
5,512,0.9,512,0.115501571876122
1,512,0.8,512,0.115504746900086
2,512,0.8,512,0.115504746900086
3,512,0.8,512,0.115504746900086
4,512,0.8,512,0.115504746900086
5,512,0.8,512,0.115504746900086
1,512,0.5,512,0.115513410918291
2,512,0.5,512,0.115513410918291
3,512,0.5,512,0.115513410918291
4,512,0.5,512,0.115513410918291
5,512,0.5,512,0.115513410918291
1,512,0.6,512,0.1155161286311
2,512,0.6,512,0.1155161286311
3,512,0.6,512,0.1155161286311
4,512,0.6,512,0.1155161286311
5,512,0.6,512,0.1155161286311
1,512,0.3,512,0.11553132281158
2,512,0.3,512,0.11553132281158
3,512,0.3,512,0.11553132281158
4,512,0.3,512,0.11553132281158
5,512,0.3,512,0.11553132281158
1,512,0.4,512,0.115532613659307
2,512,0.4,512,0.115532613659307
3,512,0.4,512,0.115532613659307
4,512,0.4,512,0.115532613659307
5,512,0.4,512,0.115532613659307
1,512,0.2,512,0.115555190099838
2,512,0.2,512,0.115555190099838
3,512,0.2,512,0.115555190099838
4,512,0.2,512,0.115555190099838
5,512,0.2,512,0.115555190099838
1,2048,0.5,64,0.116574959995426
2,2048,0.5,64,0.116574959995426
3,2048,0.5,64,0.116574959995426
4,2048,0.5,64,0.116574959995426
5,2048,0.5,64,0.116574959995426
1,4096,0.6,32,0.12006344165853
2,4096,0.6,32,0.12006344165853
3,4096,0.6,32,0.12006344165853
4,4096,0.6,32,0.12006344165853
5,4096,0.6,32,0.12006344165853
1,1024,0.8,1024,0.120547737067341
2,1024,0.8,1024,0.120547737067341
3,1024,0.8,1024,0.120547737067341
4,1024,0.8,1024,0.120547737067341
5,1024,0.8,1024,0.120547737067341
1,1024,0.9,1024,0.12054846701796
2,1024,0.9,1024,0.12054846701796
3,1024,0.9,1024,0.12054846701796
4,1024,0.9,1024,0.12054846701796
5,1024,0.9,1024,0.12054846701796
1,1024,0.7,1024,0.120549195295165
2,1024,0.7,1024,0.120549195295165
3,1024,0.7,1024,0.120549195295165
4,1024,0.7,1024,0.120549195295165
5,1024,0.7,1024,0.120549195295165
1,1024,0.6,1024,0.120556864496782
2,1024,0.6,1024,0.120556864496782
3,1024,0.6,1024,0.120556864496782
4,1024,0.6,1024,0.120556864496782
5,1024,0.6,1024,0.120556864496782
1,1024,0.4,1024,0.120566316531345
2,1024,0.4,1024,0.120566316531345
3,1024,0.4,1024,0.120566316531345
4,1024,0.4,1024,0.120566316531345
5,1024,0.4,1024,0.120566316531345
1,1024,0.5,1024,0.120566655962697
2,1024,0.5,1024,0.120566655962697
3,1024,0.5,1024,0.120566655962697
4,1024,0.5,1024,0.120566655962697
5,1024,0.5,1024,0.120566655962697
1,1024,0.3,1024,0.12057159723529
2,1024,0.3,1024,0.12057159723529
3,1024,0.3,1024,0.12057159723529
4,1024,0.3,1024,0.12057159723529
5,1024,0.3,1024,0.12057159723529
